,District,Block,CultLand,CropCultLand,CropTillageDepth,CropEstMethod,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_hand_rent,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,CropTillageDateYear,CropTillageDateDayOfYearSin,CropTillageDateDayOfYearCos,RcNursEstDateYear,RcNursEstDateDayOfYearSin,RcNursEstDateDayOfYearCos,SeedingSowingTransplantingYear,SeedingSowingTransplantingDayOfYearSin,SeedingSowingTransplantingDayOfYearCos,Harv_dateYear,Harv_dateDayOfYearSin,Harv_dateDayOfYearCos,Threshing_dateYear,Threshing_dateDayOfYearSin,Threshing_dateDayOfYearCos,Yield,LandPreparationMethod,NursDetFactor,TransDetFactor,OrgFertilizers,CropbasalFerts,FirstTopDressFert
124,Nalanda,Noorsarai,10.0,5.0,4.0,Manual_PuddledRandom,1.0,4.0,Boring,Electric,500.0,4.0,1.0,,SoilApplied,3.0,16.0,,Broadcasting,16.0,25.0,,,Broadcasting,hand,200.0,hand,21.0,10.0,plowed_in_soil,0.25,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.1457991969198751,-0.9893142039703664,2022.0,-0.4711595076738639,-0.8820480249558535,2022.0,-0.661634618242279,0.6387494220515268,2022.0,-0.3856634062436074,0.9291414114031744,410.0,TractorPlough WetTillagePuddling,IrrigWaterAvailability PreMonsoonShowers,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura,,Urea
125,Jamui,Jamui,25.0,25.0,4.0,Manual_PuddledRandom,2.0,4.0,Boring,Electric,400.0,2.0,3.0,,SoilApplied,3.0,6.0,6.0,Broadcasting,6.0,45.0,6.0,63.0,Broadcasting,hand,400.0,hand,30.0,10.0,plowed_in_soil,0.375,2022.0,-0.2303056702306119,-0.973118337233262,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.1457991969198744,-0.9893142039703664,2022.0,-0.2553532951161881,0.8695893893466109,2023.0,-0.5808002734538014,0.8140460935082175,486.0,TractorPlough,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
126,Nalanda,Rajgir,9.0,9.0,6.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,300.0,2.0,3.0,,Broadcasting,2.0,4.0,4.0,Broadcasting,4.0,45.0,,,Broadcasting,hand,200.0,machine,25.0,10.0,plowed_in_soil,0.13636363636364,2022.0,0.4711595076738638,-0.8820480249558535,2022.0,0.0430222330045305,-0.9996666485105112,2022.0,-0.4862727071086902,-0.828770087174504,2022.0,-0.6870527672236675,0.8140460935082175,2022.0,-0.7694148268839381,0.886070621534138,320.0,FourWheelTracRotavator TractorPlough,,,Ganaura,Urea,Urea
127,Nalanda,Rajgir,21.0,20.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,,,1.0,,SoilApplied,3.0,6.0,,SoilApplied,6.0,25.0,6.0,30.0,Broadcasting,hand,100.0,machine,29.0,10.0,plowed_in_soil,0.18181818181818,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,-0.1797665857255621,-0.986657932891657,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,-0.8214765533024145,0.6387494220515268,2022.0,-0.7469720876965551,0.726607524768565,400.0,TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
128,Nalanda,Rajgir,30.0,30.0,4.0,Manual_PuddledRandom,4.0,,Rainfed,,,,,,SoilApplied,2.0,10.0,,Broadcasting,20.0,40.0,,,Broadcasting,hand,,machine,25.0,40.0,plowed_in_soil,0.22727272727273,2022.0,-0.1116590071216944,-0.993746580436178,2022.0,0.0945367498171991,-0.9955213724144752,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,-0.7236440382959123,0.5270777086423724,2023.0,0.4482293417404106,0.9750645322571944,350.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability PreMonsoonShowers,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
129,Jamui,Jamui,20.0,20.0,6.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,400.0,2.0,,2.0,SoilApplied,2.0,8.0,8.0,Broadcasting,8.0,38.0,,,Broadcasting,hand,200.0,machine,26.0,10.0,plowed_in_soil,0.21875,2022.0,-0.3456123126707333,-0.9497178427914316,2022.0,0.2470221804809355,-0.9690098257244062,2022.0,-0.4093559588156211,-0.9123747579707274,2022.0,-0.7694148268839381,0.7829801036770625,2023.0,-0.5667017562911184,0.5981809144059159,300.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
130,Nalanda,Rajgir,45.0,15.0,5.0,Manual_PuddledRandom,1.0,1.0,Boring,Electric,200.0,2.0,50.0,,SoilApplied,3.0,15.0,,Broadcasting,25.0,25.0,,60.0,Broadcasting,hand,250.0,hand,30.0,10.0,plowed_in_soil,0.375,2022.0,-0.3131070409358267,-0.9497178427914316,2022.0,0.1116590071216951,-0.9955213724144752,2022.0,-0.4093559588156211,-0.9123747579707274,2022.0,-0.8214765533024145,0.5702422926917867,2023.0,0.8214765533024142,0.5702422926917867,1500.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
131,Jamui,Khaira,20.0,15.0,4.0,Manual_PuddledRandom,4.0,6.0,Boring,Electric,400.0,1.0,,,Broadcasting,2.0,10.0,,Broadcasting,10.0,9.0,10.0,60.0,Broadcasting,hand,,machine,24.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.3777079652039646,-0.9497178427914316,2022.0,0.2802306751992158,-0.9599326896597444,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.9778483415056568,0.3253420847119795,2023.0,0.9383773917408642,0.3253420847119795,720.0,TractorPlough,,,,,Urea
132,Nalanda,Rajgir,15.0,15.0,5.0,Manual_PuddledRandom,2.0,6.0,Boring,Electric,100.0,4.0,3.0,,Broadcasting,2.0,10.0,10.0,Broadcasting,20.0,26.0,,60.0,Broadcasting,hand,600.0,machine,30.0,10.0,plowed_in_soil,0.1363636363636364,2022.0,-0.3131070409358267,-0.980469160361632,2022.0,0.5012418134457758,-0.8820480249558537,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.8115390590073611,0.5416278206559811,2023.0,0.1202080448993527,0.9994074007397048,200.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
133,Jamui,Jamui,10.0,10.0,4.0,Manual_PuddledRandom,2.0,3.0,Boring,Electric,200.0,2.0,,1.0,SoilApplied,3.0,2.0,,Broadcasting,2.0,30.0,2.0,60.0,Broadcasting,hand,1000.0,machine,24.0,10.0,plowed_in_soil,0.3125,2022.0,-0.2303056702306119,-0.973118337233262,2022.0,0.1116590071216951,-0.9837092937736096,2022.0,-0.3935902766564664,-0.973118337233262,2022.0,-0.7694148268839381,0.6254105729852457,2023.0,-0.154308820664281,0.935367949313148,250.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
134,Jamui,Khaira,20.0,25.0,5.0,Manual_PuddledRandom,2.0,,Canal,,,3.0,,,,3.0,10.0,,Broadcasting,15.0,25.0,,65.0,Broadcasting,hand,,machine,25.0,10.0,plowed_in_soil,0.45454545454545,2022.0,0.025818440227133,-0.99907411510223,2022.0,-0.0430222330045303,-0.99907411510223,2022.0,-0.2303056702306119,-0.973118337233262,2022.0,-0.9813064702716092,0.1585593851031347,2023.0,0.1543088206642811,0.9927487224577402,680.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,Urea
135,Vaishali,Mahua,20.0,20.0,4.0,Manual_PuddledRandom,2.0,3.0,Boring,Electric,600.0,2.0,4.0,,SoilApplied,2.0,4.0,,Broadcasting,4.0,35.0,,,Broadcasting,hand,1100.0,machine,30.0,10.0,plowed_in_soil,0.18181818181818,2022.0,-0.3456123126707333,-0.9123747579707274,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.3617137307297674,-0.9322892131745134,2022.0,-0.6486295610349818,0.9413173175128472,2022.0,-0.154308820664281,0.9523775757303972,1200.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
136,Nalanda,Rajgir,30.0,30.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,600.0,2.0,,,,2.0,5.0,,Broadcasting,5.0,20.0,,,Broadcasting,hand,600.0,hand,25.0,10.0,plowed_in_soil,0.25,2022.0,0.1116590071216951,-0.993746580436178,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.3294084822245302,-0.973118337233262,2022.0,-0.8214765533024145,0.8695893893466109,2022.0,-0.3212696616923651,0.9668478136052772,500.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,PreMonsoonShowers,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,Urea
137,Jamui,Jamui,15.0,15.0,5.0,Manual_PuddledRandom,2.0,2.0,Boring,Diesel,200.0,2.0,1.0,3.0,SoilApplied,3.0,4.0,4.0,Broadcasting,4.0,30.0,4.0,60.0,Broadcasting,hand,400.0,machine,30.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,0.3617137307297676,-0.9322892131745134,2022.0,0.2802306751992158,-0.9599326896597448,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,-0.7354170229639858,0.8429415373547832,2023.0,-0.0516196672232541,0.9623090774541488,345.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
138,Jamui,Jamui,13.0,13.0,4.0,Manual_PuddledRandom,2.0,3.0,Boring,Electric,200.0,3.0,,,SoilApplied,3.0,10.0,,SoilApplied,8.0,25.0,8.0,60.0,Broadcasting,hand,400.0,machine,25.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.0602132773657927,-0.9981855344718586,2022.0,0.3617137307297676,-0.9322892131745132,2022.0,-0.5012418134457756,-0.8653072543632061,2022.0,-0.8498170915275277,0.5702422926917867,2023.0,-0.5808002734538014,0.8140460935082175,402.0,TractorPlough WetTillagePuddling,IrrigWaterAvailability,IrrigWaterAvailability SeedlingAge,,,Urea
139,Nalanda,Rajgir,48.0,48.0,4.0,Manual_PuddledRandom,2.0,3.0,Boring,Electric,500.0,2.0,,,SoilApplied,2.0,15.0,15.0,Broadcasting,15.0,39.0,,,Broadcasting,hand,400.0,machine,26.0,10.0,plowed_in_soil,0.3125,2022.0,-0.3456123126707333,-0.9441875088341994,2022.0,0.2802306751992158,-0.9549667548552552,2022.0,-0.3617137307297674,-0.9322892131745134,2022.0,-0.4937755501599774,0.6648553979642867,2022.0,-0.1202080448993527,0.9821256058680006,498.0,TractorPlough WetTillagePuddling,,,,Urea,Urea
140,Vaishali,Mahua,40.0,40.0,6.0,Manual_PuddledRandom,1.0,5.0,Boring,Diesel,80.0,1.0,3.0,2.0,SoilApplied,3.0,10.0,,Broadcasting,10.0,30.0,,60.0,Broadcasting,hand,300.0,hand,28.0,10.0,plowed_in_soil,0.15625,2022.0,0.060213277365793,-0.9981855344718586,2022.0,0.1116590071216951,-0.9970011699250152,2022.0,-0.2303056702306119,-0.973118337233262,2022.0,-0.8919813464595487,0.726607524768565,2023.0,0.9141279881853336,0.3253420847119795,650.0,TractorPlough,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura,,Urea
141,Jamui,Jamui,30.0,30.0,4.0,Manual_PuddledRandom,4.0,2.0,Boring,Electric,150.0,3.0,3.0,,Broadcasting,1.0,,,Broadcasting,,,,,,hand,1200.0,machine,25.0,10.0,plowed_in_soil,0.18181818181818,2022.0,0.3617137307297676,-0.9322892131745134,2022.0,0.2802306751992158,-0.9599326896597448,2022.0,-0.1457991969198744,-0.9893142039703664,2022.0,-0.6084768701151264,0.7829801036770625,2023.0,-0.7116566222817751,0.9880226656636976,740.0,TractorPlough,IrrigWaterAvailability,,Ganaura,,NPKS Other SSP Urea
142,Jamui,Jamui,25.0,25.0,4.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,300.0,2.0,,,,3.0,15.0,15.0,Broadcasting,15.0,15.0,15.0,45.0,Broadcasting,hand,600.0,hand,25.0,10.0,plowed_in_soil,0.18181818181818,2022.0,-0.1116590071216944,-0.993746580436178,2022.0,0.077386479233463,-0.9955213724144752,2022.0,-0.3456123126707333,-0.9646141756912436,2022.0,-0.5808002734538014,0.6387494220515268,2023.0,-0.2553532951161881,0.9226395488404876,1555.0,TractorPlough,IrrigWaterAvailability,IrrigWaterAvailability SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,Urea
143,Gaya,Gurua,15.0,15.0,4.0,Manual_PuddledRandom,2.0,10.0,Boring,Diesel,150.0,2.0,,9.0,SoilApplied,3.0,10.0,,Broadcasting,10.0,45.0,10.0,65.0,Broadcasting,hand,100.0,machine,25.0,10.0,plowed_in_soil,0.15625,2022.0,-0.008606996888688,-0.9999629591162656,2022.0,0.1287481774525813,-0.9955213724144752,2022.0,-0.4093559588156211,-0.9123747579707274,2022.0,-0.8311706263658079,0.6387494220515268,2022.0,0.304921224656289,0.9821256058680006,405.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
144,Gaya,Wazirganj,5.0,5.0,4.0,Manual_PuddledRandom,2.0,4.0,Boring,Electric,50.0,2.0,5.0,,Broadcasting,1.0,4.0,4.0,Broadcasting,,,,,,hand,500.0,hand,25.0,10.0,plowed_in_soil,0.15625,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,-0.8406184056344783,0.6118864012687242,2022.0,-0.3856634062436074,0.9226395488404876,800.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability,IrrigWaterAvailability RainArrival,Ganaura,Urea,NPKS Other SSP Urea
145,Jamui,Khaira,44.0,30.0,5.0,Manual_PuddledRandom,4.0,4.0,Boring,Electric,500.0,,4.0,,SoilApplied,2.0,18.0,18.0,Broadcasting,18.0,22.0,,,Broadcasting,hand,300.0,hand,25.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,-0.0430222330045303,-0.9955213724144752,2022.0,0.1116590071216951,-0.993746580436178,2022.0,-0.3777079652039646,-0.9441875088341994,2022.0,-0.9455963874271428,0.5560174366570446,2022.0,-0.8996308696522434,0.3253420847119795,500.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
146,Vaishali,Mahua,5.0,5.0,4.0,Manual_PuddledRandom,3.0,3.0,Boring,Electric,300.0,2.0,,,,3.0,6.0,6.0,Broadcasting,4.0,45.0,2.0,60.0,Broadcasting,hand,150.0,machine,26.0,10.0,plowed_in_soil,0.3125,2022.0,-0.1116590071216944,-0.9970011699250152,2022.0,0.1116590071216951,-0.993746580436178,2022.0,-0.3935902766564664,-0.9383773917408642,2022.0,-0.8406184056344783,0.5416278206559811,2022.0,-0.780295851070776,0.8779600847008882,321.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability PreMonsoonShowers,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,Urea
147,Nalanda,Rajgir,4.0,4.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,200.0,5.0,,,SoilApplied,2.0,4.0,,SoilApplied,4.0,45.0,,,Broadcasting,hand,200.0,machine,30.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.48627270710869,-0.865307254363206,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.8115390590073611,0.6118864012687242,2022.0,0.255353295116187,0.9821256058680006,4.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability,IrrigWaterAvailability LaborAvailability RainArrival,,,Urea
148,Jamui,Khaira,10.0,10.0,4.0,Manual_PuddledLine,2.0,3.0,Boring,Electric,120.0,1.0,,,SoilApplied,2.0,10.0,,Broadcasting,10.0,25.0,,,Broadcasting,hand,300.0,machine,30.0,10.0,plowed_in_soil,0.46875,2022.0,-0.4711595076738639,-0.8820480249558535,2022.0,0.0430222330045305,-0.9996666485105112,2022.0,-0.4093559588156211,-0.9383773917408642,2022.0,-0.7694148268839381,0.6387494220515268,2022.0,-0.9455963874271428,0.7383263540031063,800.0,TractorPlough,,RainArrival,,,Urea
149,Jamui,Jamui,20.0,20.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,50.0,5.0,5.0,,SoilApplied,1.0,13.0,13.0,Broadcasting,,,,,,hand,400.0,machine,28.0,10.0,plowed_in_soil,0.46875,2022.0,-0.1116590071216944,-0.993746580436178,2022.0,0.1116590071216951,-0.9955213724144752,2022.0,-0.455906693508459,-0.9441875088341994,2022.0,-0.4937755501599774,0.8695893893466109,2022.0,-0.1202080448993527,0.9927487224577402,300.0,TractorPlough,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,NPKS Other SSP Urea
150,Gaya,Gurua,35.0,35.0,4.0,Manual_PuddledRandom,2.0,1.0,Boring,Electric,125.0,2.0,5.0,,SoilApplied,2.0,5.0,,Broadcasting,5.0,25.0,,,Broadcasting,hand,600.0,hand,25.0,10.0,plowed_in_soil,0.15625,2022.0,-0.3294084822245302,-0.92592477719385,2022.0,0.0945367498171991,-0.9996666485105112,2022.0,-0.5160623910158526,-0.8565509959010037,2022.0,-0.5667017562911184,0.8695893893466109,2023.0,0.4635502709028509,0.9750645322571944,800.0,TractorPlough,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability SeedlingAge,Ganaura,,Urea
151,Jamui,Jamui,20.0,10.0,4.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,500.0,2.0,5.0,,SoilApplied,3.0,,,Broadcasting,10.0,15.0,10.0,45.0,Broadcasting,hand,600.0,hand,30.0,10.0,plowed_in_soil,0.25,2022.0,0.060213277365793,-0.9769384927771816,2022.0,0.48627270710869,-0.8738071036110808,2022.0,-0.4862727071086902,-0.8653072543632061,2022.0,-0.8406184056344783,0.7611042586607742,2022.0,-0.2719581575341052,0.9852201067560606,900.0,FourWheelTracRotavator TractorPlough,,RainArrival,Ganaura,,Urea
152,Nalanda,Rajgir,10.0,10.0,4.0,Manual_PuddledRandom,4.0,5.0,Boring,Electric,400.0,3.0,,,,2.0,20.0,20.0,Broadcasting,15.0,15.0,,,Broadcasting,hand,1000.0,hand,25.0,10.0,plowed_in_soil,0.5,2022.0,-0.0773864792334632,-0.993746580436178,2022.0,0.2303056702306122,-0.973118337233262,2022.0,-0.4405187843504952,-0.8475409228928312,2022.0,-0.6486295610349818,0.6387494220515268,2023.0,-0.1372787721132651,0.9668478136052772,100.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,Urea
153,Gaya,Gurua,25.0,25.0,5.0,Manual_PuddledRandom,1.0,2.0,Boring,Diesel,3000.0,1.0,4.0,12.0,SoilApplied,2.0,10.0,10.0,Broadcasting,15.0,25.0,,,Broadcasting,hand,1200.0,hand,25.0,10.0,plowed_in_soil,0.13636363636364,2022.0,-0.1116590071216944,-0.9970011699250152,2022.0,0.1116590071216951,-0.9970011699250152,2022.0,-0.5160623910158526,-0.8565509959010037,2022.0,-0.9455963874271428,0.3253420847119795,2022.0,-0.9141279881853336,0.3253420847119795,180.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
154,Nalanda,Rajgir,15.0,15.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,400.0,,4.0,,SoilApplied,2.0,10.0,,Broadcasting,10.0,28.0,,,Broadcasting,hand,400.0,machine,30.0,10.0,plowed_in_soil,0.25,2022.0,0.025818440227133,-0.9996666485105112,2022.0,0.1116590071216951,-0.9955213724144752,2022.0,-0.3777079652039646,-0.92592477719385,2022.0,-0.8498170915275277,0.6387494220515268,2022.0,-0.2884824328806098,0.9291414114031744,600.0,TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
155,Jamui,Jamui,20.0,10.0,6.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,500.0,3.0,,,,2.0,15.0,10.0,Broadcasting,20.0,25.0,15.0,,Broadcasting,hand,100.0,machine,25.0,10.0,plowed_in_soil,0.25,2022.0,-0.1116590071216944,-0.9970011699250152,2022.0,0.1966728897935764,-0.980469160361632,2022.0,-0.4250003399695539,-0.9051931898913976,2022.0,-0.8406184056344783,0.8039279618328208,2022.0,-0.154308820664281,0.998666816288476,700.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,Urea
156,Nalanda,Rajgir,20.0,10.0,4.0,Manual_PuddledRandom,1.0,2.0,Boring,Electric,300.0,3.0,5.0,,Broadcasting,3.0,20.0,20.0,Broadcasting,20.0,25.0,,,Broadcasting,hand,1200.0,machine,25.0,10.0,plowed_in_soil,0.1875,2022.0,0.3131070409358269,-0.9497178427914316,2022.0,0.3456123126707335,-0.9383773917408642,2022.0,-0.4093559588156211,-0.9123747579707274,2022.0,-0.594726686960764,0.6254105729852457,2022.0,-0.1202080448993527,0.9821256058680006,720.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,LabourAvailability SeedAvailability,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura,,Urea
157,Jamui,Jamui,10.0,10.0,5.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,100.0,3.0,1.0,,SoilApplied,2.0,6.0,,Broadcasting,6.0,30.0,,,Broadcasting,hand,1200.0,machine,30.0,10.0,plowed_in_soil,0.0909090909090909,2022.0,-0.2303056702306119,-0.973118337233262,2022.0,0.3617137307297676,-0.9322892131745132,2022.0,-0.3777079652039646,-0.92592477719385,2022.0,-0.6744436188329457,0.6387494220515268,2023.0,0.1543088206642811,0.3253420847119795,800.0,TractorPlough,IrrigWaterAvailability SeedAvailability,,Ganaura,,Urea
158,Vaishali,Chehrakala,8.0,8.0,5.0,Manual_PuddledRandom,2.0,6.0,Boring,Diesel,400.0,2.0,5.0,,SoilApplied,2.0,5.0,5.0,Broadcasting,5.0,45.0,,,Broadcasting,hand,900.0,hand,25.0,10.0,plowed_in_soil,0.22727272727273,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,0.1797665857255624,-0.986657932891657,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,-0.9455963874271428,0.4366512319560638,2022.0,-0.2884824328806098,0.9880226656636976,100.0,FourWheelTracRotavator,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
159,Nalanda,Rajgir,10.0,10.0,4.0,Manual_PuddledRandom,2.0,1.0,Boring,Electric,500.0,2.0,1.0,,SoilApplied,2.0,3.0,,Broadcasting,3.0,27.0,3.0,63.0,Broadcasting,hand,300.0,hand,25.0,10.0,plowed_in_soil,0.46875,2022.0,0.3456123126707335,-0.9497178427914316,2022.0,0.1966728897935764,-0.973118337233262,2022.0,-0.5307300481619331,-0.7441039398713608,2022.0,-0.7694148268839381,0.6648553979642867,2023.0,2.5432490598706546e-15,0.9623090774541488,800.0,TractorPlough,IrrigWaterAvailability,IrrigWaterAvailability,Ganaura,Urea,Urea
160,Jamui,Jamui,60.0,60.0,6.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,500.0,3.0,,,SoilApplied,2.0,10.0,,Broadcasting,12.0,45.0,,,Broadcasting,hand,200.0,hand,27.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,0.3294084822245304,-0.9646141756912436,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.3294084822245302,-0.9646141756912436,2022.0,-0.6994583270516471,0.9905324521322229,2022.0,-0.1202080448993527,0.9015016841318838,65.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability RainArrival SeedlingAge,,,Urea
161,Nalanda,Noorsarai,32.0,16.0,4.0,Manual_PuddledRandom,4.0,5.0,Boring,Electric,300.0,2.0,,10.0,SoilApplied,1.0,8.0,8.0,Broadcasting,,,,,,hand,300.0,machine,27.0,40.0,plowed_in_soil,0.18181818181818,2022.0,0.1116590071216951,-0.993746580436178,2022.0,0.077386479233463,-0.9955213724144752,2022.0,-0.4711595076738639,-0.8820480249558535,2022.0,-0.4787338401157883,0.8140460935082175,2023.0,-0.8406184056344783,0.7383263540031063,10.0,TractorPlough,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability,,Urea,NPKS Other SSP Urea
162,Gaya,Gurua,30.0,30.0,4.0,Manual_PuddledRandom,3.0,4.0,Boring,Electric,400.0,3.0,,,,3.0,10.0,10.0,Broadcasting,10.0,45.0,,,Broadcasting,machine,,machine,30.0,40.0,plowed_in_soil,0.1363636363636364,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.0430222330045305,-0.99907411510223,2022.0,-0.2303056702306119,-0.9383773917408642,2022.0,-0.4937755501599774,0.8695893893466109,2022.0,-0.2884824328806098,0.8609610158889945,480.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,Urea
